Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Change,Cummulative change
29-Apr-2016,19258.25,19364.95,19118.1,19323.2,174801258,2436.23,0.43,-1.81
02-May-2016,19315.65,19643.75,19278.6,19630.2,178909783,2724.44,1.59,-0.25
03-May-2016,19699.25,19764.95,19399.35,19433.5,118930333,2972.34,-1.00,-1.25
04-May-2016,19360.2,19402.95,19094.9,19126.55,111139713,2272.95,-1.58,-2.81
05-May-2016,19173.5,19236.15,19058.9,19154.15,105976647,2448.21,0.14,-2.67
06-May-2016,19160.7,19281.6,19109.8,19256.35,90161890,1843.69,0.53,-2.15
09-May-2016,19328.2,19451.5,19307.95,19405.85,72385455,1919.25,0.78,-1.39
10-May-2016,19428.15,19463.1,19372.6,19413.2,81214323,2017.79,0.04,-1.36
11-May-2016,19225.15,19484.65,19174.7,19430.1,128632215,2172.14,0.09,-1.27
12-May-2016,19487.55,19649.85,19484.35,19629.2,85026654,2321.88,1.02,-0.26
13-May-2016,19606.9,19686.9,19422.55,19447.95,95794786,2356.27,-0.92,-1.18
16-May-2016,19499.5,19516.15,19351.7,19433.75,85050881,1919.13,-0.07,-1.25
17-May-2016,19512.75,19561.6,19427.85,19445.6,99734794,2723.99,0.06,-1.19
18-May-2016,19390.55,19472.6,19291,19450.05,129106505,2454.54,0.02,-1.17
19-May-2016,19468.3,19502.9,19199.2,19222.85,103005696,2414.63,-1.17,-2.32
20-May-2016,19281.55,19319.75,19065.6,19098.2,85991356,1996.1,-0.65,-2.96
23-May-2016,19197.8,19215.85,19035.3,19054.4,69270898,1825.25,-0.23,-3.18
24-May-2016,19082.3,19086.8,18915.85,19008.75,104913512,2686.08,-0.24,-3.41
25-May-2016,19143.95,19248.2,19126.65,19216.4,125439929,2617.97,1.09,-2.36
26-May-2016,19258.1,19460.8,19219.25,19429.15,166693873,3741.11,1.11,-1.27
27-May-2016,19490.8,19784.1,19471.5,19716.15,131712938,3773.79,1.48,0.18
30-May-2016,19791.95,19843.55,19688.05,19801.8,116941418,2266.73,0.43,0.62
31-May-2016,19840.3,19856,19665.75,19715.35,323553851,7031.52,-0.44,0.18
01-Jun-2016,19775.6,19912.5,19702.45,19726.8,166007999,2879.6,0.06,0.24
02-Jun-2016,19722.55,19881.5,19681.55,19858.15,123608616,2466.23,0.67,0.91
03-Jun-2016,19933.55,20000.2,19820.8,19864.35,118703055,2670.64,0.03,0.94
06-Jun-2016,19869.2,19914.9,19724.25,19754.55,87624927,1975.51,-0.55,0.38
07-Jun-2016,19833.45,19902.55,19781.9,19842.85,98504180,2373.35,0.45,0.83
08-Jun-2016,19886.6,19966.05,19854.65,19944.1,102390408,2281.28,0.51,1.34
09-Jun-2016,19993.25,20037.8,19853.75,19884.8,118884287,2143.03,-0.30,1.04
10-Jun-2016,19921.1,19984.45,19759.3,19779.5,108049210,2115.46,-0.53,0.51
13-Jun-2016,19633.55,19673.35,19519.75,19638.95,81555475,1705.97,-0.71,-0.21
14-Jun-2016,19679.45,19717,19573.1,19682.15,95533778,1782.65,0.22,0.01
15-Jun-2016,19751.3,19850,19727.75,19821.6,95470779,1983.29,0.71,0.72
16-Jun-2016,19820.05,19833.55,19634.75,19801.4,127021319,2414.13,-0.10,0.62
17-Jun-2016,19897.9,19912.05,19739.2,19800.9,114743555,2103.22,0.00,0.61
20-Jun-2016,19679.45,19921.55,19642.65,19907.2,117866982,2161.2,0.54,1.15
21-Jun-2016,19952.35,20027.1,19922.15,19951.7,114311548,2323.91,0.22,1.38
22-Jun-2016,19959.75,20002.1,19860.45,19955.65,92716898,1882.61,0.02,1.40
23-Jun-2016,19976.7,19987.85,19855.5,19980.75,107685892,1911.83,0.13,1.53
24-Jun-2016,19535.7,19721.95,19223.8,19706.7,190945328,3390.43,-1.37,0.14
27-Jun-2016,19675.8,19957.5,19668.35,19898.95,97655467,2080.87,0.98,1.11
28-Jun-2016,19965.55,20076.4,19965.55,20053.3,94334692,2290.47,0.78,1.90
29-Jun-2016,20144.05,20278,20143,20256.15,132032924,2855.32,1.01,2.93
30-Jun-2016,20366,20568.5,20352.8,20533.7,188643391,4387.97,1.37,4.34
01-Jul-2016,20611.35,20859.8,20611.35,20831.25,118049946,2936.46,1.45,5.85
04-Jul-2016,20934.7,21045.75,20934.7,20995.35,124933170,2740.13,0.79,6.68
05-Jul-2016,20991.75,21075.5,20888.6,20975.5,133240014,2509.61,-0.09,6.58
07-Jul-2016,20999.9,21023.4,20922.5,20950.35,134885779,2725.54,-0.12,6.46
08-Jul-2016,20998.05,21025.9,20862.9,20999.25,118811730,2654.28,0.23,6.70
11-Jul-2016,21196.2,21379.25,21196.2,21345.25,131309841,3265.43,1.65,8.46
12-Jul-2016,21418.75,21531.2,21382.35,21516.3,150123060,3623.34,0.80,9.33
13-Jul-2016,21568.05,21694.1,21360.95,21427.1,200649234,4576.63,-0.41,8.88
14-Jul-2016,21460.3,21535.85,21420.7,21520.6,135665973,3313.33,0.44,9.35
15-Jul-2016,21613.25,21692.15,21541.75,21579.4,139811724,3423.19,0.27,9.65
18-Jul-2016,21645.05,21679.5,21394.75,21429.35,107734385,2646.76,-0.70,8.89
19-Jul-2016,21461.25,21540.8,21318.4,21503.85,132148731,3181.59,0.35,9.27
20-Jul-2016,21541.5,21688.9,21541.5,21673.75,128352844,3014.51,0.79,10.13
21-Jul-2016,21802.85,21842.1,21683.2,21700.1,148799890,3705.59,0.12,10.27
22-Jul-2016,21758.6,21993.15,21660.6,21980.35,169821411,3585.8,1.29,11.69
25-Jul-2016,22047.6,22241.65,22028.25,22219.55,167669958,4165.51,1.09,12.90
26-Jul-2016,22257.5,22371.55,22148.4,22197.7,142510012,4137.89,-0.10,12.79
27-Jul-2016,22278.75,22357.15,22152.2,22334.05,134103206,4223.96,0.61,13.49
28-Jul-2016,22365.05,22462.9,22323.2,22419.3,199599012,5434.52,0.38,13.92
29-Jul-2016,22465.65,22604.55,22432.1,22457.4,144319852,4261.13,0.17,14.11
01-Aug-2016,22562.75,22724.8,22332,22521.9,145047280,3862.5,0.29,14.44
02-Aug-2016,22592.3,22699.4,22337.1,22367.85,143314243,4073.9,-0.68,13.66
03-Aug-2016,22433.25,22433.25,21931.75,21972.6,114589209,3633.39,-1.77,11.65
04-Aug-2016,22130.65,22178.85,21892.4,22107.55,118161624,3575.4,0.61,12.34
05-Aug-2016,22236.25,22541.45,22232,22529.45,135111480,4203.22,1.91,14.48
08-Aug-2016,22637.15,22811.75,22548.15,22764.25,107867664,3924.37,1.04,15.67
09-Aug-2016,22802.65,22806.3,22526,22623.35,106610203,3220.91,-0.62,14.96
10-Aug-2016,22648.75,22662.05,22214.5,22246.4,128704897,3833.46,-1.67,13.04
11-Aug-2016,22258.2,22363.25,22022.85,22306.85,119205877,3605.17,0.27,13.35
12-Aug-2016,22334.15,22560.55,22298.25,22513.9,115252115,3233.33,0.93,14.40
16-Aug-2016,22577.5,22685.5,22473.55,22624.2,111556670,3118.17,0.49,14.96
17-Aug-2016,22642.25,22792.25,22616.2,22777.35,113299008,2662.98,0.68,15.74
18-Aug-2016,22829.35,22902.3,22819.1,22868.7,104553551,2518.57,0.40,16.20
19-Aug-2016,22931.1,22988.15,22833.55,22925.2,132301192,2694.02,0.25,16.49
22-Aug-2016,22931,22966.5,22738.35,22789.4,98188250,2193.33,-0.59,15.80
23-Aug-2016,22783.2,22783.2,22522.25,22656.1,102039138,2740.44,-0.58,15.12
24-Aug-2016,22697.25,22887.2,22686.45,22859.1,86762302,2824.41,0.90,16.15
25-Aug-2016,22918.4,22974.3,22698.7,22732.8,127068784,4050.42,-0.55,15.51
26-Aug-2016,22806.35,22877,22667.95,22797.45,107757347,2459.95,0.28,15.84
29-Aug-2016,22815.8,22833.9,22688.7,22818.05,95134683,2274.26,0.09,15.95
30-Aug-2016,22902.05,23000.45,22893.25,22973.85,87778804,2318.16,0.68,16.74
31-Aug-2016,23043.95,23159.5,22961.15,23005.65,134171030,3727.82,0.14,16.90
01-Sep-2016,23043.6,23109.1,22886.05,22960.8,147514732,2789.91,-0.19,16.67
02-Sep-2016,22987.1,23060.7,22916.55,23031.05,102586062,2291.87,0.31,17.03
06-Sep-2016,23137.25,23416.5,23107.5,23405.35,96852498,2687.47,1.63,18.93
07-Sep-2016,23476.7,23537.7,23408.45,23461.7,158322630,3768.21,0.24,19.22
08-Sep-2016,23520.9,23568.95,23441.55,23551.9,131621489,3106.22,0.38,19.67
09-Sep-2016,23575.05,23606.4,23304.9,23339.1,136422243,3122.21,-0.90,18.59
12-Sep-2016,22999.6,23004.75,22605.85,22674.6,142134251,3569.57,-2.85,15.22
14-Sep-2016,22773.05,22936.95,22702.9,22914.05,127112408,3047.75,1.06,16.43
15-Sep-2016,22959.1,22959.1,22752,22809.3,143780463,2686.38,-0.46,15.90
16-Sep-2016,22943.05,23119.85,22764.7,22866.7,180749111,4469.89,0.25,16.19
19-Sep-2016,22933.35,22980.8,22857.65,22933.45,104338273,2748.74,0.29,16.53
20-Sep-2016,22962.2,23004.3,22893.95,22936.2,100640482,3178.66,0.01,16.55
21-Sep-2016,22988.65,23055.35,22895.95,22921.8,85921897,2555.31,-0.06,16.47
22-Sep-2016,23136.55,23235.45,23029.85,23220.7,99847912,2915.78,1.30,17.99
23-Sep-2016,23266.7,23375.55,23217.2,23246.95,116376273,3489.32,0.11,18.13
26-Sep-2016,23240.95,23314.25,23094.6,23165.2,101144209,2793.35,-0.35,17.71
27-Sep-2016,23245.1,23298.6,23081.9,23139.85,92369111,2499.08,-0.11,17.58
28-Sep-2016,23185.55,23327.75,23154.55,23298.45,114140110,2922.98,0.69,18.39
29-Sep-2016,23416.75,23447,22329.55,22481,254624905,6375.15,-3.51,14.23
30-Sep-2016,22453.65,22956.35,22387.3,22908,108608459,3108.01,1.90,16.40
03-Oct-2016,23043.85,23577.85,23032.7,23528.2,110281572,3278.67,2.71,19.55
04-Oct-2016,23615.1,23726,23537.9,23684.25,115422854,3312.2,0.66,20.35
05-Oct-2016,23765.55,23782.3,23593.6,23722.25,103466791,3098.65,0.16,20.54
06-Oct-2016,23809.1,23975.85,23580.7,23702.7,113097041,3389.27,-0.08,20.44
07-Oct-2016,23790.1,23846.55,23538.95,23644.85,90182274,2633.78,-0.24,20.15
10-Oct-2016,23749.65,23772.95,23578,23598.65,68490654,2049.76,-0.20,19.91
13-Oct-2016,23562.65,23568.45,23023.45,23229.6,99652438,3100.07,-1.56,18.04
14-Oct-2016,23303.75,23359.25,23185.25,23329.9,69808751,2322.8,0.43,18.55
17-Oct-2016,23379.3,23419.95,23135.85,23191.2,81500020,2536.93,-0.59,17.84
18-Oct-2016,23286,23635.5,23281.05,23600.55,87901753,2746.99,1.77,19.92
19-Oct-2016,23697.3,23739.6,23577.5,23670.45,81096050,2649.86,0.30,20.28
20-Oct-2016,23773.35,23819.5,23677,23699.3,98167698,2814.63,0.12,20.42
21-Oct-2016,23747.6,23759.6,23603.85,23741.4,81123504,2244.66,0.18,20.64
24-Oct-2016,23801.75,23830.05,23649.2,23677.55,75570181,2031.7,-0.27,20.31
25-Oct-2016,23696.85,23722.2,23519.6,23701.2,69179758,1918.76,0.10,20.43
26-Oct-2016,23654.2,23664.65,23387.5,23463.95,85441124,2653.32,-1.00,19.23
27-Oct-2016,23422.3,23423.7,23135.5,23197.9,107352860,4016.27,-1.13,17.88
28-Oct-2016,23271.5,23542.4,23241.9,23516.85,120274974,3684.82,1.37,19.50
